"name","Type","Value","RefId","rule_refid","eval_refid","evalType","propname","propiid"
"NCCPI_B - LEP 0-150cm or Restriction, map 700-1000 (Cotton)","not_null_and","0","19648","26026","19648","ArbitraryCurve","LEP 0-150cm OR FIRST ROOT RESTRICTIVE LAYER, MAP 700-1000","16531"
"NCCPI_B - LEP 0-150cm or Restriction, map <700 (Cotton)","not_null_and","0","19649","26026","19649","ArbitraryCurve","LEP 0-150cm OR FIRST ROOT RESTRICTIVE LAYER, MAP<700","16532"
"NCCPI_B - BD 0-150cm or Restriction (Cotton)","null_not_rated","0","18658","24303","18658","ArbitraryCurve","BULK DENSITY RATIO (WTD AVE) ABOVE RESTR. LAYER","13519"
"NCCPI_B - BD 0-150cm or pH <3.5 (Cotton)","not_null_and","0","18657","24303","18657","ArbitraryCurve","BULK DENSITY RATIO (WTD AVE) ABOVE PH <3.5","13521"
"NCCPI_B - BD 0-150cm or EC >= 8.01 (Cotton)","null_or","0","18656","24303","18656","ArbitraryCurve","BULK DENSITY RATIO (WTD AVE) ABOVE EC > 8","13523"
"NCCPI_B - BD 0-150cm or Bulk Density too High (Cotton)","not_null_and","0","18655","24303","18655","ArbitraryCurve","BULK DENSITY RATIO (WTD AVE) ABOVE BD TOO HIGH","13529"
"NCCPI_B - Mean Annual Precipitation, MAAT <14 (Cotton)","not_null_and","0","19600","25949","19600","ArbitraryCurve","MEAN ANNUAL PRECIPITATION AND MAAT <14","16510"
"NCCPI_B - Mean Annual Precipitation, MAAT >20 (Cotton)","not_null_and","0","19603","25949","19603","ArbitraryCurve","MEAN ANNUAL PRECIPITATION AND MAAT >20","16513"
"NCCPI_B - Mean Annual Precipitation, MAAT 17-20 (Cotton)","not_null_and","0","19602","25949","19602","ArbitraryCurve","MEAN ANNUAL PRECIPITATION AND MAAT 17-20","16512"
"NCCPI_B - Mean Annual Precipitation, MAAT 14-17 (Cotton)","not_null_and","0","19601","25949","19601","ArbitraryCurve","MEAN ANNUAL PRECIPITATION AND MAAT 14-17","16511"
"NCCPI_B - Mean Annual Precipitation (Cotton)","null_not_rated","0","17612","22206","17612","ArbitraryCurve","MEAN ANNUAL PRECIPITATION FROM H&L","35985"
"NCCPI_B - Mean Annual Air Temperature (Cotton)","null_not_rated","0","17712","23242","17712","ArbitraryLinear","MEAN ANNUAL AIR TEMPERATURE","13636"
"NCCPI_B - Frost Free Days (Cotton)","null_not_rated","0","17688","22205","17688","ArbitraryCurve","FROST-FREE DAYS","13359"
"NCCPI_B - Mean Annual Air Temperature (Cotton)","null_not_rated","0","17712","22205","17712","ArbitraryLinear","MEAN ANNUAL AIR TEMPERATURE","13636"
"NCCPI - Wetness Indicator During Growing Season (Cotton)","multiply","1","27602","37153","27602","ArbitraryLinear","GENERAL INDICATOR DURING GROWING SEASON, DRAINED","14669"
"NCCPI_B - Effective Slope (Cotton)","null_not_rated","0","17683","22387","17683","ArbitraryCurve","SLOPE PERCENT (WHEAT)","14866"
"NCCPI_B - Flooding During 245-278 FFD (Cotton)","null_or","0","19656","26039","19656","ArbitraryCurve","FLOODING SEVERITY DURING 245-278 FFD (COTTON)","16542"
"NCCPI_B - Flooding During 215-245 FFD (Cotton)","null_or","0","19655","26039","19655","ArbitraryCurve","FLOODING SEVERITY DURING 215-245 FFD (COTTON)","16541"
"NCCPI_B - Flooding During 185-215 FFD (Cotton)","null_or","0","19654","26039","19654","ArbitraryCurve","FLOODING SEVERITY DURING 185-215 FFD (COTTON)","16540"
"NCCPI_B - Flooding During <185 FFD (Cotton)","null_or","0","19653","26039","19653","ArbitraryCurve","FLOODING SEVERITY DURING <185 FFD (COTTON)","16539"
"NCCPI_B - Flooding During 278-305 FFD (Cotton)","null_or","0","19657","26039","19657","ArbitraryCurve","FLOODING SEVERITY DURING 278-305 FFD (COTTON)","16543"
"NCCPI_B - Flooding During >305 FFD (Cotton)","null_or","0","19658","26039","19658","ArbitraryCurve","FLOODING SEVERITY DURING >305 FFD (COTTON)","16544"
"NCCPI_B - Rare Flooded Component","not_null_and","0","18667","24324","18667","Crisp","FLOODING FREQ. IS RARE","15461"
"NCCPI_B - Well Drained Component","null_or","0","19701","24324","19701","Crisp","DRAINAGE CLASS","10363"
"Impacted soil","null_not_rated","0","46164","46238","46164","Crisp","COMPONENT LOCAL PHASE IMPACTED","37734"
"NCCPI - pH 0-20cm (Soybeans)","null_not_rated","0","43019","44493","43019","ArbitraryCurve","pH IN DEPTH 0-20CM, WTD AVE","13531"
"NCCPI - pH 20-150cm (Soybeans)","null_or","0","43022","47443","43022","ArbitraryCurve","pH IN DEPTH 20-150CM, WTD AVE","13532"
"NCCPI - CEC 0-150cm or Bulk Density too High (Soybeans)","null_not_rated","0","43042","47454","43042","ArbitraryCurve","MEQ 0-150cm OR BD TOO HIGH","13527"
"NCCPI - CEC 0-150cm or EC >= 8.01 (Soybeans)","not_null_and","0","43043","47454","43043","ArbitraryCurve","MEQ 0-150cm OR EC > 8.01","13526"
"NCCPI - CEC 0-150cm or pH <= 3.5 (Soybeans)","not_null_and","0","43044","47454","43044","ArbitraryCurve","MEQ 0-150cm OR PH <= 3.5","13525"
"NCCPI - CEC 0-150cm or Restriction (Soybeans)","null_not_rated","0","43045","47454","43045","ArbitraryCurve","MEQ 0-150cm OR RESTRICTION","13528"
"NCCPI - Wet Soil Months, Count","not_null_and","0","17122","47454","17122","ArbitraryCurve","WET SOIL MONTHS GROWING SEASON - COUNT","14471"
"NCCPI - OM 0-20cm (Soybeans)","null_not_rated","0","43037","47451","43037","ArbitraryCurve","ORGANIC MATTER IN DEPTH 0-20CM, WTD AVE","17047"
"NCCPI - OM 20-150cm (Soybeans)","null_not_rated","0","43038","47451","43038","ArbitraryCurve","ORGANIC MATTER PERCENT 20-150 CM","13550"
"NCCPI - SAR 0-20cm (Soybeans)","null_not_rated","0","56923","54960","56923","ArbitraryCurve","SAR OF SURFACE 20cm","13563"
"NCCPI - SAR 20-150cm (Soybeans)","null_not_rated","0","56924","54960","56924","ArbitraryCurve","SAR 20-150cm","13564"
"NCCPI - EC 0-150 cm or Bulk Density too High (Soybeans)","null_or","0","56918","54957","56918","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE BD TOO HIGH","13545"
"NCCPI - EC 0-150 cm or EC >= 16 (Soybeans)","null_or","0","56919","54957","56919","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE EC > 16","13546"
"NCCPI - EC 0-150 cm or Restriction (Soybeans)","null_or","0","56920","54957","56920","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE RESTR. LAYER","13544"
"NCCPI - EC 0-150 cm or pH <= 3.5 (Soybeans)","null_or","0","56921","54957","56921","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE PH <3.5","13547"
"NCCPI - EC 0-10cm Germination Adverse (Soybeans)","null_or","0","56922","54959","56922","ArbitraryCurve","ELECTRICAL CONDUCTIVITY MAX 0-10 CM","14968"
